depot_id,depot_name,service,energy_station_type,lat,lon,area_ha,capacity_buses_reported,fleet_share_proxy,electric_bus_count_proxy,daily_energy_kwh_base,charger_count_proxy,charger_cap_kw,grid_cap_kw_base,grid_cap_kw_tight,grid_cap_public_anchor_kw,bess_energy_cap_max_kwh,bess_power_cap_max_kw,assignment_confidence,assignment_method
PZ001,Las Mercedes,Zonal (alimentacion),Electrico,4.765765281825321,-74.08008842786747,1.3,98,0.05998681608437706,91.0,23478.0,32,4800.0,3120.0,1404.0,,8217.3,2160.0,high,operator_zone_depot_assignment_with_validation_route_profiles
PZ006,Perdomo I,Zonal (alimentacion - UCE),Diesel-electrico,4.592663736964534,-74.14728652168529,0.9,38,0.008569545154911009,13.0,3354.0,5,750.0,487.5,219.375,,1173.8999999999999,337.5,high,operator_zone_depot_assignment_with_validation_route_profiles
PZ039,El Refugio,Zonal (alimentacion),Electrico,4.687923382760212,-74.15319851522823,1.2,101,0.07910349373764008,120.0,27735.0,42,6300.0,4095.0,1842.75,,9707.25,2835.0,medium,operator_zone_depot_assignment_with_validation_route_profiles
PZ040,Aeropuerto,Zonal (UCE),Electrico,4.683292454142332,-74.13360382678655,1.5,126,0.08371786420566908,127.0,28956.0,44,6600.0,4290.0,1930.5,,10134.599999999999,2970.0,"low,medium",operator_zone_depot_assignment_with_validation_route_profiles
PZ041,Usme,Zonal (alimentacion),Electrico,4.467292232539253,-74.1276510562187,1.7,129,0.08767303889255108,133.0,33615.25,46,6900.0,4485.0,2018.25,,11765.3375,3105.0,high,operator_zone_depot_assignment_with_validation_route_profiles
PZ047,Venecia,Zonal (UCE),Electrico,4.700940230557407,-74.16421958494503,2.0,148,0.1133816743572841,172.0,34988.5,59,8850.0,5752.5,2588.625,,12245.974999999999,3982.5,medium,operator_zone_depot_assignment_with_validation_route_profiles
PZ048,Venecia,Zonal (UCE),Electrico,4.700679907198547,-74.1631690613103,2.0,166,0.14040870138431114,213.0,41629.0,73,10950.0,7117.5,3202.875,,14570.15,4927.5,medium,operator_zone_depot_assignment_with_validation_route_profiles
PZ049,Escritorio IV,Zonal (UCE),Electrico,4.699865736372333,-74.16479983567608,2.2,144,0.12722478576137114,193.0,38066.5,67,10050.0,13600.0,6120.0,13600.0,13323.275,4522.5,high,operator_zone_depot_assignment_with_validation_route_profiles
PZ050,Usme II,Zonal (UCE),Electrico,4.470804392892267,-74.12210954567881,3.9,203,0.15095583388266315,229.0,46654.5,79,11850.0,7702.5,3466.125,,16329.074999999999,5332.5,high,operator_zone_depot_assignment_with_validation_route_profiles
PZ052,Perdomo,Zonal (UCE),Electrico,4.592632029004255,-74.1819651923028,2.4,133,0.14897824653922215,226.0,40793.0,78,11700.0,7605.0,3422.25,,14277.55,5265.0,"high,low",operator_zone_depot_assignment_with_validation_route_profiles
