operator_family,concesionario_operacion,zone_norm,zona,componente,bus_count,daily_energy_kwh_base,km_day_proxy,kwh_km_proxy,depot_id,assignment_method,assignment_confidence,depot_name,depot_service,energy_station_type,capacity_buses_reported,lat,lon,assignment_scope,source_note
ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,BOSA,Bosa,Zonal,31,5595.5,190.0,0.95,PZ052,nearest_southwest_electric_depot_proxy,low,Perdomo,Zonal (UCE),Electrico,133,4.592632029004255,-74.1819651923028,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
GRAN AMERICAS FONTIBON,GRAN AMERICAS FONTIBON I S.A.S.,FONTIBON I,FONTIBÓN I,ALIMENTACIÓN,120,27735.0,215.0,1.075,PZ039,fontibon_i_to_el_refugio_proxy,medium,El Refugio,Zonal (alimentacion),Electrico,101,4.687923382760212,-74.15319851522823,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
E SOMOS FONTIBON,E-Somos Fontibón S.A.S.,FONTIBON II,Fontibón II,Zonal,126,28728.0,190.0,1.2,PZ040,fontibon_ii_to_aeropuerto_proxy,medium,Aeropuerto,Zonal (UCE),Electrico,126,4.683292454142332,-74.13360382678655,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
ZMO FONTIBON III,ZMO Fontibón III S.A.S.,FONTIBON III,Fontibón III,Zonal,193,38066.5,190.0,1.0380829015544042,PZ049,public_anchor_fontibon_iii_escritorio_enelx,high,Escritorio IV,Zonal (UCE),Electrico,144,4.699865736372333,-74.16479983567608,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
MUEVE FONTIBON,Mueve Fontibón S.A.S.,FONTIBON IV,Fontibón IV,Zonal,172,34988.5,190.0,1.070639534883721,PZ047,fontibon_iv_to_venecia_proxy,medium,Venecia,Zonal (UCE),Electrico,148,4.700940230557407,-74.16421958494503,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
ZMO FONTIBON V,ZMO Fontibón V S.A.S.,FONTIBON V,Fontibón V,Zonal,213,41629.0,190.0,1.0286384976525822,PZ048,fontibon_v_to_venecia_ii_proxy,medium,Venecia,Zonal (UCE),Electrico,166,4.700679907198547,-74.1631690613103,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
MASIVO CAPITAL,Masivo Capital S.A.S.,KENNEDY,Kennedy,Zonal,1,228.0,190.0,1.2,PZ040,nearest_western_electric_depot_proxy,low,Aeropuerto,Zonal (UCE),Electrico,126,4.683292454142332,-74.13360382678655,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
ETIB,EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTÁ – ETIB S.A.S.,PERDOMO I,PERDOMO I,ALIMENTACIÓN,13,3354.0,215.0,1.2,PZ006,zone_name_to_perdomo_i,high,Perdomo I,Zonal (alimentacion - UCE),Diesel-electrico,38,4.592663736964534,-74.14728652168529,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
OPERADORA DISTRITAL DE TRANSPORTE,Operadora Distrital de Transporte S.A.S.,PERDOMO II,Perdomo II,Zonal,195,35197.5,190.0,0.95,PZ052,zone_name_to_perdomo,high,Perdomo,Zonal (UCE),Electrico,133,4.592632029004255,-74.1819651923028,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
ESTE ES MI BUS,ESTE ES MI BUS S.A.S.,SUBA CENTRO I,SUBA CENTRO I,ALIMENTACIÓN,91,23478.0,215.0,1.2,PZ001,zone_name_to_las_mercedes,high,Las Mercedes,Zonal (alimentacion),Electrico,98,4.765765281825321,-74.08008842786747,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
E SOMOS ALIMENTACION,E-SOMOS ALIMENTACIÓN S.A.S,USME I,USME I,ALIMENTACIÓN,133,33615.25,215.0,1.1755639097744361,PZ041,zone_name_to_usme,high,Usme,Zonal (alimentacion),Electrico,129,4.467292232539253,-74.1276510562187,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
MUEVE USME,Mueve Usme S.A.S.,USME II,Usme II,Zonal,229,46654.5,190.0,1.0722707423580786,PZ050,zone_name_to_usme_ii,high,Usme II,Zonal (UCE),Electrico,203,4.470804392892267,-74.12210954567881,operator_zone_to_depot,Flota vinculada SITP pure-electric records grouped by operation concessionaire and zone; depot assigned using zone/depot names and public Fontibon III Enel X anchor where available.
