hour,price_cop_per_kwh,pv_kw_per_kwp,price_high_cop_per_kwh,emission_kg_per_kwh,emission_high_kg_per_kwh,source_note
0,193.6013237260274,0.0,290.4019855890411,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
1,192.14686619178082,0.0,288.2202992876712,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
2,189.6836716712329,0.0,284.52550750684935,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
3,186.55195934246578,0.0,279.82793901369865,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
4,194.26873194520547,0.0,291.4030979178082,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
5,204.93452920547944,0.0,307.40179380821917,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
6,203.93082235616438,0.0,305.89623353424656,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
7,202.67612920547947,0.0,304.0141938082192,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
8,199.71737304109587,0.0,299.5760595616438,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
9,197.4514196164384,0.0,296.17712942465755,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
10,206.03612372602737,0.0,309.054185589041,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
11,213.70635660273973,0.02522775956284153,320.55953490410957,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
12,212.32467715068492,0.14348360655737705,318.4870157260274,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
13,218.41282783561644,0.29209579234972677,327.61924175342466,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
14,233.1863648219178,0.404220218579235,349.7795472328767,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
15,250.21191276712327,0.47287005464480875,375.3178691506849,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
16,260.1180908493151,0.514555956284153,390.1771362739726,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
17,270.1458716712329,0.5167282240437159,405.2188075068493,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
18,388.2773757808219,0.48294229508196723,582.4160636712329,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
19,469.5629566027397,0.39779136612021854,704.3444349041096,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
20,353.3066524931507,0.2846675683060109,529.959978739726,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
21,275.7965566027397,0.14390945355191256,413.6948349041096,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
22,242.275285369863,0.022221147540983605,363.4129280547945,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
23,220.895685369863,0.0,331.3435280547945,0.177,0.25,XM_2025_hourly_average_PVGIS_2020_hourly_average_UPME_2024_factor_sensitivity
