scenario,scenario_label,roof_scenario,roof_label,smart_charging,pv_enabled,bess_enabled,nearby_roofs,constrained_grid,fleet_multiplier,price_column,emission_column,grid_cap_column,roof_buffer_m,roof_capacity_column,demand_charge_cop_per_kw_day,carbon_price_cop_per_kg,pv_capex_cop_per_kwp_day,bess_energy_capex_cop_per_kwh_day,bess_power_capex_cop_per_kw_day,unserved_penalty_cop_per_kwh
S0,"Unmanaged charging, no PV/BESS",R0,No PV,False,False,False,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,none,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S1,"Smart charging, no PV/BESS",R0,No PV,True,False,False,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,none,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",True,True,False,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_conservative_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S2,Smart charging with depot rooftop PV,R2,"Internal depot roofs, medium",True,True,False,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S2,Smart charging with depot rooftop PV,R3,"Internal depot roofs, high",True,True,False,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S3,Smart charging with BESS only,R0,No PV,True,False,True,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,none,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S4,Smart charging with PV+BESS,R1,"Internal depot roofs, conservative",True,True,True,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_conservative_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S4,Smart charging with PV+BESS,R2,"Internal depot roofs, medium",True,True,True,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S4,Smart charging with PV+BESS,R3,"Internal depot roofs, high",True,True,True,False,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S5,Depot and nearby rooftops with BESS,R4,"Depot plus nearby roofs, medium",True,True,True,True,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,1000,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S5,Depot and nearby rooftops with BESS,R5,Maximum technical roof sensitivity,True,True,True,True,False,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,2000,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S6,PV+BESS under tight grid connection,R1,"Internal depot roofs, conservative",True,True,True,False,True,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_tight,0,pv_cap_conservative_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S6,PV+BESS under tight grid connection,R2,"Internal depot roofs, medium",True,True,True,False,True,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_tight,0,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S6,PV+BESS under tight grid connection,R3,"Internal depot roofs, high",True,True,True,False,True,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_tight,0,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S6,PV+BESS under tight grid connection,R4,"Depot plus nearby roofs, medium",True,True,True,False,True,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_tight,1000,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S6,PV+BESS under tight grid connection,R5,Maximum technical roof sensitivity,True,True,True,False,True,1.0,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_tight,2000,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S7,Fleet expansion 2026-2035,R1,"Internal depot roofs, conservative",True,True,True,False,False,1.5,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_conservative_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S7,Fleet expansion 2026-2035,R2,"Internal depot roofs, medium",True,True,True,False,False,1.5,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
