scenario,roof_scenario,depot_id,hour,grid_kw,pv_used_kw,pv_curtail_kw,bus_charge_kw,bess_charge_kw,bess_discharge_kw,bess_soc_kwh,unserved_kwh,dt_hours
S8,R3,PZ050,0,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,1,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,2,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,3,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,4,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,5,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,8,300.2115062495226,0.0,0.0,0.0,300.2115062495226,0.0,0.0,0.0,1.0
S8,R3,PZ050,9,300.2115062495226,0.0,0.0,0.0,300.2115062495226,0.0,285.2009309370465,0.0,1.0
S8,R3,PZ050,10,3183.782432632122,0.0,0.0,3425.452695162987,0.0,241.6702625308658,570.401861874093,0.0,1.0
S8,R3,PZ050,11,3183.782432632122,14.71883398718068,0.0,3198.501266619302,0.0,0.0,316.0121118416027,0.0,1.0
S8,R3,PZ050,12,3183.782432632122,83.71379073671923,0.0,3267.496223368841,0.0,0.0,316.0121118416027,0.0,1.0
S8,R3,PZ050,13,3183.782432632122,170.4197895671311,0.0,3654.413728448775,0.0,300.2115062495226,316.0121118416027,0.0,1.0
S8,R3,PZ050,14,3183.782432632122,235.8374423503311,0.0,3419.619874982453,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,15,3183.782432632122,275.8903665023693,0.0,3459.672799134491,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,16,0.0,300.2115062495226,0.0,0.0,300.2115062495226,0.0,0.0,0.0,1.0
S8,R3,PZ050,17,0.0,300.2115062495226,1.267383591835312,0.0,300.2115062495226,0.0,285.2009309370465,0.0,1.0
S8,R3,PZ050,18,0.0,281.7668944795848,0.0,281.7668944795848,0.0,0.0,570.401861874093,0.0,1.0
S8,R3,PZ050,19,0.0,232.0866054265593,0.0,232.0866054265593,0.0,0.0,570.401861874093,0.0,1.0
S8,R3,PZ050,20,0.0,166.085881268747,0.0,466.2973875182697,0.0,300.2115062495226,570.401861874093,0.0,1.0
S8,R3,PZ050,21,3183.782432632122,83.96224606232573,0.0,3509.414941225313,0.0,241.6702625308658,254.3897500324903,0.0,1.0
S8,R3,PZ050,22,3183.782432632122,12.96466223430055,0.0,3196.747094866422,0.0,0.0,0.0,0.0,1.0
S8,R3,PZ050,23,3183.782432632122,0.0,0.0,3183.782432632122,0.0,0.0,0.0,0.0,1.0
