scenario,scenario_label,roof_scenario,roof_label,depot_id,depot_name,grid_cap_kw,pv_cap_max_kwp,installed_pv_kwp,installed_bess_energy_kwh,installed_bess_power_kw,grid_energy_kwh,peak_grid_kw,bus_charge_kwh,unserved_kwh,pv_generation_kwh,pv_used_kwh,pv_curtailment_pct,bess_charge_kwh,bess_discharge_kwh,energy_cost_cop,co2_kg,objective_cop,termination_condition,solver,solver_manager,capacity_mode
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ001,Las Mercedes,3120.0,0.0,0.0,0.0,0.0,23478.0,3052.1400000000003,23478.0,0.0,0.0,0.0,0.0,0.0,0.0,6080461.41912674,4155.606,9132601.41912674,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ006,Perdomo I,487.5,0.0,0.0,0.0,0.0,3354.0,436.02,3354.0,0.0,0.0,0.0,0.0,0.0,0.0,868637.3455895343,593.658,1304657.3455895341,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ039,El Refugio,4095.0,0.0,0.0,0.0,0.0,27735.000000000004,3605.55,27735.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,7182962.665451918,4909.095,10788512.665451918,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ040,Aeropuerto,4290.0,0.0,0.0,0.0,0.0,28956.0,3764.28,28956.0,0.0,0.0,0.0,0.0,0.0,0.0,7499183.953157589,5125.2119999999995,11263463.953157589,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ041,Usme,4485.0,0.0,0.0,0.0,0.0,33615.25,4369.9825,33615.25,0.0,0.0,0.0,0.0,0.0,0.0,8705862.11428998,5949.8992499999995,13075844.61428998,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.5,4548.505,34988.5,0.0,0.0,0.0,0.0,0.0,0.0,9061513.943398753,6192.9645,13610018.943398753,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41629.0,5411.77,41629.0,0.0,0.0,0.0,0.0,0.0,0.0,10781307.113758713,7368.333,16193077.113758713,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.5,4948.645,38066.5,0.0,0.0,0.0,0.0,0.0,0.0,9858671.29275015,6737.7705000000005,14807316.29275015,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ050,Usme II,7702.5,0.0,0.0,0.0,0.0,46654.5,6065.085,46654.5,0.0,0.0,0.0,0.0,0.0,0.0,12082838.711928124,8257.8465,18147923.71192812,optimal,appsi_highs,local,optimized
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ052,Perdomo,7605.0,0.0,0.0,0.0,0.0,40793.0,5303.09,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,10564795.24109537,7220.361,15867885.24109537,optimal,appsi_highs,local,optimized
